#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column int fEvent
#column int fEntry
#column string fPreProc
#column string fPostProc
#column int fTrackID
#column int fParentID
#column int fPDG
#column double fKinetic
#column double fEdep
#column double fX1
#column double fY1
#column double fZ1
#column double fX2
#column double fY2
#column double fZ2
#column int Copy
12486,1,Transportation,Transportation,2,0,22,1.49659,0,3.68115,-95,199.778,5,-103.946,196.359,3
12613,1,Transportation,hadElastic,1,0,2112,5.75813,0.0457094,2.91075,-100.535,201.1,2.91932,-100.831,201.059,3
12613,0,hadElastic,Transportation,1,0,2112,5.71243,0,2.91932,-100.831,201.059,2.31209,-105,198.81,3
12794,1,Transportation,Transportation,2,1,2112,0.360843,0,-0.881537,-95,194.232,-1.15443,-97.656,191.1,3
12891,1,Transportation,Transportation,1,0,2112,4.81628,0,-3.64418,95,199.212,-5,100.042,198.769,1
13045,1,Transportation,Transportation,2,0,22,4.44,0,-95,-3.22148,193.461,-105,-3.56059,191.194,2
13075,1,Transportation,Transportation,2,0,22,4.44,0,2.7724,95,198.572,3.06423,105,196.842,1
13091,1,Transportation,Transportation,20,1,22,0.651711,0,3.51896,95,197.883,2.89874,105,197.707,1
13155,1,Transportation,Transportation,1,0,2112,3.69661,0,-4.38498,98.4606,201.1,-4.67622,105,200.177,1
13680,1,Transportation,Transportation,4,1,22,2.28024,0,-95,-1.37748,192.244,-105,-0.917325,193.322,2
13681,1,Transportation,neutronInelastic,1,0,2112,3.00726,0,-2.3241,-95,198.343,-2.46489,-100.755,197.334,3
13681,0,NA,Transportation,6,1,22,0.1099,0,-2.46489,-100.755,197.334,-5,-98.3676,199.28,3
13681,0,NA,Transportation,5,1,22,1.34795,0,-2.46489,-100.755,197.334,5,-97.5941,199.649,3
13681,0,NA,ionIoni,4,1,1000090190,0.0139497,0.0139497,-2.46489,-100.755,197.334,-2.46489,-100.755,197.334,3
13681,0,NA,Transportation,3,1,2112,1.53545,0,-2.46489,-100.755,197.334,-2.53525,-105,196.598,3
13823,1,Transportation,Transportation,1,0,2112,3.3612,0,-95,0.559398,199.98,-105,0.618281,198.399,2
13897,1,Transportation,Transportation,1,0,2112,5.47009,0,0.968863,-102.421,201.1,0.993264,-105,200.75,3
13908,1,Transportation,hadElastic,1,0,2112,1.52597,0,0.181397,95,199.079,0.186135,97.4814,198.664,1
13908,0,hadElastic,Transportation,1,0,2112,0.937492,0,0.186135,97.4814,198.664,2.80973,95,198.754,1
13908,0,NA,ionIoni,2,1,1000030070,0.588612,0.588612,0.186135,97.4814,198.664,0.185508,97.4831,198.663,1
14027,1,Transportation,Transportation,2,0,22,4.44,0,95,-4.21173,191.355,96.0234,-4.2571,191.1,0
14071,1,Transportation,Transportation,1,0,2112,6.44456,0,95,4.23945,198.149,105,4.68571,196.375,0
14284,1,Transportation,Transportation,1,0,2112,2.22261,0,100.189,2.93264,201.1,105,3.07347,200.433,0
14291,1,Transportation,Transportation,1,0,2112,6.64906,0,95,3.18442,200.873,105,3.51962,199.386,0
14417,1,Transportation,hadElastic,1,0,2112,7.542,0.0400953,2.62231,95,194.98,2.78868,101.027,193.71,1
14417,0,hadElastic,Transportation,1,0,2112,7.50191,0,2.78868,101.027,193.71,3.8919,105,193.704,1
14460,1,Transportation,Transportation,2,0,22,4.44,0,-95,3.43436,199.751,-105,3.79587,198.146,2
14564,1,Transportation,Transportation,3,1,22,0.821088,0,2.21134,-95,198.998,-0.241967,-105,199.236,3
14600,1,Transportation,Transportation,2,0,22,4.44,0,-3.11515,95,199.175,-3.44306,105,197.509,1
14930,1,Transportation,Transportation,2,0,22,4.44,0,-0.671973,-98.1103,201.1,-0.719162,-105,200.124,3
